,File Input,Label,Predictions,ProbPosNormal,ProbNegNormal,PredictionsStopRemoved
0,there may critic alive harbors much affection shlock monster movies do delighted entertainment ron underwoods yarn tremors even last years yarn anaconda something these films causes me lower my inhibitions return saturday afternoons my youth spent company creature black lagoon blob deep rising yarn doesnt quite pass test sure enough modern monster ingredients place conspicuously collection bait excuse me characters isolated location here derelict cruise ship south china sea comic relief few least big explosion there elements sleazy shipping magnate anthony heald also appears doctorate marine biology slinky international jewel thief famke janssen whose white cotton tank top hides heart gold happens deep rising noteworthy primarily mechanical manner spits those ingredients terrorist crew led mercenary hanover wes studi piloted boat captain finnegan treat williams shows loot cruise ship sea monsters show eat mercenary crew few survivors make closing credits go lights hard work much enthusiasm sort joyless filmmaking especially monster moview should make laugh every time makes scream here laughs provided almost entirely kevin j oconnor generally amusing crews mechanic writerdirector stephen sommers seems most concerned creating tone menace something overpopulated skeletons something where gunfire special effects taken bit too seriously deep rising missing unmistakable cue were expected ridiculous good time hide our eyes case point comparing deep rising recent cousin anaconda deep rising creatures victims regurgitated back into view partially still alive shrieks horror freakish appearance pain moment bit too disturbing laughable anaconda we also see regurgitated victim partially still alive looks another character winks make no mistake deep rising anaconda beat heck comes technical proficiency pacing also gloomy uninspired nearly enough fun dont ask much my monster movies do ask act monster movies dont show me fantastically impressive massive beast tentacles show me massive beast burping ill figure get point,0,0,-3504.131835584672,-3462.0605831061653,0
1,renee zellweger stars young jewish wife mother frustrated constraints hasidic community brooklyn husband glenn fitzgerald religious scholar whose attitude sex fails tame fire she feels within she confesses after hearing fiery confession suddenly gets frisky pleasantly surprised dies next morning sensing frustration husbands brother christopher eccleston gives job jewelry business exchange raw passionless sex fans flame job befriends allen payne cool blast hunky puerto rican water does own jewelry designs working grunt upscale jewelry store can far far behind everything writerdirector rings false starting improbably cast zellweger does adequate enough acting job simply looks too waspy role better fit would been julianna outshines zellweger sisterinlaw baby steps toward liberation such indulging egg roll chinatown come off silly attempts spice proceedings touch magical form recurring presence longdead brothers story feel even trite than already didnt know expect something chase long then dont know how react get still dont know how react michael jordan winning first nba championship 1991 my thoughts after meeting him november 21 1997,0,1,-2053.102410070229,-2056.6065031812436,1
2,many things criticize dont know where start recommendation turn off your brain dont me decreasing rating everyday because think too much comet strike earth causing catastrophe similar extinction level event e l e wiped dinosaurs follows story presidents bid think good people rising reporter love story two teenagers whom discovered comet team astronauts ship messiah save world firstly there nothing outstandingly inferior making nor there anything outstandingly good plot holes make corny stupid honest moved trailer than itself isnt saying much mimi leders followup peacemaker equally incompetent big stars wasted perhaps im annoyed release peacemaker us overshadowed far superior thriller assignment very obvious title only represents big boom will result collision also heavy impact human lives however simply fails note effects wornout substandard screenplay limited acting director continued sad run terms credentials shes still making good money though t leonis unfortunate character news reporter foundation story cast suffers too many characters do need explored robert duvalls aging astronaut lifeless morgan freemans president restricted well righteous president means hes interesting leonis character only appealing played reasonable conviction rather peculiar showing reporting msnbc definitely director screenwriters warning spoilers included lot irrelevant predictable anyway plot holes plot holes plot holes now e l e threatening exterminate than 99 human race send eight little nuclear bombs there wheres logic leder could least made plausible 20 then turns only few percent world population actually those less selfish ones ones stayed home were victims almost mocking them telling them had died nothing also fail see how two teenagers carrying baby would first climb even motorbike unlikely dust will take two years settle doesnt really matter building caves strategy mentioned dr strangelove proposed people lived underground hundred years now practical use caves point living caves there no unlike dr strangelove any outside restrict exposure how do plants grow if humans technology keep plants alive caves theres no reason why cant do open president disclosed other countries been preparing own caves obviously means other countries were informed long time ago cant serious say nobody news media important mission messiah matter any mission impossible isnt sufficient fuel extra couple hundred needless say tens deep impact frivolous cheap impact even overacting 3 4 rating still watchable dont think okay,0,0,-4577.031105754654,-4532.844220535993,0
3,dont let fool into believing romantic william shakespeare no will truly understand heart soul man except through work makes vain attempt any moves life hollywood annoying tendency do will only subtract achievement rather than greatness life although well written puts too much makeup man whose life probably pork potatoes rather than lobster champagne oh well lets onwards assume bit flirtatious falls love beautiful woman gwyneth paltrow inspiration several plays develop romeo juliet night easier me believe had wet dream thats how plays develop please spare me unnecessary melodrama guess my version probably wouldnt draw crowd make dollar screen there any justification man shakespeare we need do read work order find soul think oscars were deserved think many aspects private ryan life beautiful were far superior movies should never assume should criteria winning oscar time again reasons unexplained undeserving will win another sore point fact gwyneth won best female lead over polished cate guess if go enough your grandfather dying your nephew being people will start feeling sorry,0,1,-2047.4452507775218,-2048.744316887455,1
4,good thing most animated scifi movies come japan because titan e proof hollywood doesnt clue how do dont know supposed can tell young man named whos last survivors earth early century unknowingly possesses key saving left human race thats fine premise actionpacked scifi animated theres no payoff story takes main characters over galaxy search legendary ship evil aliens want destroy no apparent reason process we get lot spaceship fights fistfights blaster fights doublecrosses than can shake stick theres much pointless scifi banter too much take galaxy here total ripoff star wars universe creators dont bother filling basic details makes story confusing characters unmotivated superficial plot plain boring despite fantastic animation special effects interesting,0,1,-1383.6976715136557,-1383.727814140351,1
5,year 2029 captain leo davidson mark wahlberg boogie nights training chimp pilot pod space station electromagnetic storm encountered pod lost davidson sets unauthorized lands thousands years future planet apes maybe if 20th century fox had set proverbial 100 chimps front typewriters would gotten better results than adaptation pierre boulle novel william jr cast away lawrence konner mark d rosenthal mighty joe young director tim burtons unique look style nowhere found silly pointless remake davidson no sooner lands than finds himself being savages running terror whom wisely joins however hes rounded lot them apes rule plant handed over slave trader limbo paul giamatti ari helena bonham carter fight club daughter illustrious senator david warner titanic simian bleeding heart believes humans should live apes equal standing unpopular notion she takes liking leo she deems unusual general thade tim roth lucky numbers opposite opinion wishing declaration martial law will allow him annihilate race hes sweet ari relatively easy see where new story going onset yet ultimate revelation gaping logic holes much surprise ending nonsensical let down attempt love triangle conveyed ari human estella warren driven giving each other back off looks over leo fails because never develops relationship either them lone sex scene hilarious foreplay between elder orangutan senator glenn trophy wife nova burtons squeeze lisa marie guffaws will also likely greet charlton hestons cameo father ape harboring sputters very familiar lines before dying only real success 2001 planet apes rick bakers makeup even thats iffy affair no attempt made change human actors eyes real distraction amidst otherwise impressive work roth warner michael clarke duncan right hand man attar given most impressive giamatti looks skull than ape female apes too given sexual appeal tim roth delivers most impressive acting job getting body language right nasty chimpanzee character leaps most spectacularly mounting steed evens hes undone obvious wire work bonham carter delivers range emotion behind stiff prosthetic undone turn silliness writing most set bound look no amount mist can cover apes city resembles dank complex tree houses apes military costumes colleen atwood sleepy hollow well field reminiscent work coppolas dracula oriental flavor also found danny elfmans tribal score planet apes last blockbuster hope summer 2001 dismal season thats going dogs,0,0,-4271.777351472427,-4261.305964970412,0
6,writing screenplay thriller hard harder than pouring concrete under texas sun harder than building bridge over troubled waters incidentally whole heck lot harder than writing review thrillers variations theme smart resourceful powerful bad guy goal meet noble brave good guy protect innocent kill bad guy get killed himself process trick thriller writing doing interesting novel manner simple formula can lead classic movies north northwest high noon silence lambs big summer blockbusters men black fugitive air force can lead utter dreck masterminds event horizon anyone else getting depressed here point enough follow formula youve got throw something extra something good new better than last version something surprise move us people buy tickets popcorn happy meals hard thing do absolutely necessary every way without something extra whether great plot wellwritten screenplay great special effects great locations great casting great performances great big hungry dinosaurs fails thats why jackal starpower budget hype gets big fat f bruce willis bad guy jackal legendary killer hire richard gere good guy former ira assassin vendetta against jackal jackal trying kill someone gere trying stop him will gere able stop assassination time kill jackal ill give three guesses first two dont count there no surprises awaiting audience jackal no moment say yourself wonder happens next script jackal isnt ripped straight todays headlines ripped off straight episode millennium throughout we learn jackals plans how intends accomplish them no surprise fun should come richard gere figuring jackals plan developing clever plan foil bad guy instead we get two count em two scenes where gere sitting fbi conference room somewhere instantly jackals plan if hes frank black likely if hes been handed copy script we never get than superficial clue why gere had flash insight geres character psychic neither nor fbi screenwriters seem know millennium bad guy overwhelming need go after people good guy cares whether important hes trying do whats last half jackal supposedly supersmart professional terrorist never makes mistake comes down major case stupids performances bruce willis manages get through whole without wisecrack major achievement enough reason see disguises good good interesting val kilmers saint richard gere made talk entire irish accent detracts otherwise lifeless dull performance sidney poitier probably most disappointing element overwhelmingly disappointing performance bad anything sad hollywood wont use talented actor any part other than fbi agent shoot kill sneakers writing good plot good screenplay said hard can done wasnt done here our job consumers reward good screenplays denounce bad uninteresting ones do go see youll only encourage producers make instead stay home rent day jackal line fire fire safety video crying loud anything other than jackal lives name gnawing dead bones other better movies,0,0,-5479.355392157429,-5415.5404764453915,0
7,right right we get point despite similarities bestselling story speechless based romance between 1992 presidential campaign rivals james carville mary fact script development well before 1992 still comparisons inevitable until realizes critical difference no speechless speech writers campaign managers carville story actually interesting speechless limp poorly structured wouldbe romantic comedy speechless set during new mexico campaign where kevin michael keaton julia mann geena davis meet get romantic night neither can sleep neither realizes opposite sides campaign kevin sitcom writer brought punch republican candidates speeches while julia chief speech writer democratic candidate first each believes other ulterior motive relationship eventually let down guard become closer there obstacles way including julias fiance christopher reeve series stunts continue prove alls fair love politics standard formula speechless would two principles starting antagonists realizing only end theyre crazy each other screenwriter robert king completely expectations throwing kevin julia into each others arms first fifteen minutes then developing noble attempt shake things unfortunately doesnt work part fun watching sparring romantic comedy comes recognizing chemistry even before characters do speechless already know theyre attracted each other were left waiting campaign end theyll admit love each other already there such herkyjerky feel constant bickering making even kings sharp dialogue cant prevent speechless becoming repetitive after half hour inconsistency also defining characteristic performances geena davis michael keaton those performances most scenes together problems begin initial courtship does virtually nothing establish julias character merely establishes kevin wiseass davis radiantly beautiful keaton generally entertaining these characters plastic nothing happens them seems matter bit couple scenes quiet moment sitting fountain actually achieve measure connection most part however theyre actors spouting lines keep waiting little spark never happens perhaps most disappointing king director ron underwood completely waste premise removing punch politics setting seems perfect high energy battle sexes thrown into mix thats never tone underwood going wants warm fuzzy romance compatible marc shaimans musical score campaign should defined conflict between kevin julia fades into background might well been story rival every single character uninspired she could possibly only reviewer civilized world seemed enjoy robert kings previous screenplay dana carvey flop clean slate had hopes speechless while there wit words script probably much better paper screen still paper thin,0,0,-4445.792767228735,-4438.1718084275435,0
8,teenagers lot power hollywood every year countless films will made targeting audience particular rely entire teenage population turn friday saturday nights wallets hand formula very simple make big name young actor actress sex appeal add high school environment features everyone prom queens math club nerds then very simple relationship conflict can worked 90 minutes typical teenage attention span response enormous part population will waste it92s money almost any set environment can relate most importantly care judge quality any piece trash will due never been kissed latest director raja gosnell trash josie geller drew barrymore youngest copy editor history chicago sun times she own personal assistant unlimited supplies own office she very much dismayed position life there nothing she wants than reporter go into field where she can play active role chicago media assignment quite literally thrown nowhere she jumps constantly josie work place friend anita molly shannon amicable superior gus john c reilly two them both stricken horror upon hearing news first assignment both deem office worker reporter however since aimed teenage audience little patience character conflict otherwise interesting scenario resolved within two minutes josie headed field obviously field assignment involves high school specifically she become undercover reporter high school senior class becoming them think need even begin explain situation ever occurring won92t develops into josie trying find life she never led high school interwoven flashback scenes show us how much dork she truly she appears heading down road again fortunately lame production other characters do appear make these high school scenes both humorous remotely interesting include predictable love stories between both student jeremy jordan teacher michael vartan show josie really two people body also younger brother opposite rob david arquette comes into new found life even causes rare scene mildly provocative humor found actually quite amusing typical teenage films chalk full sexual innuendoes condom humor scene particular features certain classroom activity involving bananas latex absolutely hysterical most other jokes straight forward high school humor anyone ever been high school can appreciate will enjoy those still recover total lack quality following trend high school rules comes general acting even worse than trend overplaying scenario case drew barrymore absolutely painful watch she required play character two levels having very black white transitions although scenes written particular shades gray she seems hold color throughout screen time point she alone obvious love interest ferris wheel expected him adult level since teacher she never seems get gray area doing she makes mockery otherwise good performance following barrymore pitiful molly shannon saturday night live she seems limited playing ecstatic character no can relate draws attention audience simply unrealistic these qualities prevent aforementioned condom scene being few decent luckily there great performance emerge otherwise bleak david arquette scream takes home prize being able stand ensemble performance absolutely pathetic brilliant acting ruined central character gets take own miniplot few well done parts never been kissed dazzling type piece work does absolutely hilarious tom cruise impression 1983 hit risky business never been kissed mediocre best predictable plot become overplayed hollywood sickening watch time again no exception acting bad there positive presence david arquette add light unfortunately bottom line will success because teenagers will pay see any trash,0,1,-6359.14107582222,-6363.4106558466565,0
9,walken stars mobster kidnapped held ransom four bratty rich kids seems woman also been sister them e t s henry thomas girlfriend another flannery asking price 2 million said unable cough alone even cut off walkens finger show mean business because desperate save womans life suicide kings terrible walken aside there isnt single appealing cast member creates characters functional types without any resonance amusingly scene walken plays poker foursome describes each personalities if reading summary sheet casting director plot another issue entirely someone whom im betting seen reservoir dogs usual suspects too many times only does story veer off bizarre tangents never return do we really need scene where dennis leary beats abusive father toaster entirely unrelated both story character numerous anecdotal sequences central plot itself serpentine mess filled crosses double crosses triple crosses fourth big had completely tuned wondering earth attracted these actors material recently peer fellow young filmmaker informed me had idea four guys mob fbi occurred me then whats wrong indies suicide kings suspect never met mobster rich man doesnt deliver endless clever monologues friends favourite types boots short these guys riffing other movies doing making same over over over again tarantino found niche now hundreds genxers cameras trying find tarantinos niche instead carving own reviewed toronto international festival,0,1,-2574.543188864599,-2580.4848419283303,1
